Rank,"UFO Sightings/100,000 People",County,State,Population,Total UFO Sightings
1,30.96,kanabec county,mn,16151,5
2,26.99,fredericksburg city,va,25931,7
3,23.88,lincoln county,or,46070,11
4,20.24,horry county,sc,276688,56
5,20.19,washington county,vt,59427,12
6,18.84,clatsop county,or,37157,7
7,16.77,carroll county,nh,47694,8
8,15.59,johnson county,ar,25655,4
9,14.58,dare county,nc,34289,5
10,14.5,brunswick county,nc,110324,16
11,14.19,fairbanks north star borough,ak,98656,14
12,13.57,windham county,vt,44216,6
13,12.36,columbia county,wi,56647,7
14,12.32,chelan county,wa,73047,9
15,12.08,kootenai county,id,140785,17
16,11.53,crawford county,oh,43348,5
17,11.38,cape may county,nj,96684,11
18,11.29,callaway county,mo,44276,5
19,11.15,coos county,or,62753,7
20,11.07,lincoln county,ne,36128,4
